FSC-A,SSC-A,Alexa_488-A,PI-A
229709,134468,9151.8,318.456
187275,157715,61242.4,1610.7
8325.68,16002.6,16183,83.7648
185804,74384.2,8470.83,132.367
183843,56728.5,4120.8,22.0291
106861,33977.5,1542.86,39.3493
6261.2,67609.2,45.0217,28.5826
262143,262143,11871.8,595.967
122050,61145.4,3186.91,170.642
154244,83901.7,1431.33,236.867
130251,43445.8,3554.24,141.509
103550,29391.7,7052.72,-23.8739
132659,43538.9,3929.28,61.8739
36284.2,88949.1,305.101,114.386
135270,80535.5,17558.8,-80.7359
127289,33093.1,2442.19,36.8159
262143,133358,3790.36,360.477
221127,88752.2,5404.26,141.591
132453,27612.1,1080.25,63.6362
262143,117749,4843.9,318.814
110074,41148.9,3134.59,15.5304
120131,40031.7,5984.04,89.4377
134278,34649.2,588.174,169.761
36909,62931.6,447.739,97.8087
202456,125974,7098.98,351.417
179152,75296.6,6934.86,183.777
149237,63007.4,7649.15,169.678
87289.8,67718.3,4604.33,200.767
29056.7,159495,3369.75,177.636
35222,9335.27,13054.8,4407.2
242919,262143,42716.5,708.865
250249,87842.5,4343.57,214.948
137937,44855.6,4114.05,22.9927
262143,76036.1,3475.49,131.045
234054,82299.1,6973.41,90.8696
187170,101143,3670.72,200.326
10632.2,10069.4,13309.1,161.83
107613,81901.4,2985.34,177.994
162981,54466.2,2805.39,142.087
262143,137167,11302.8,248.129
262143,245852,4104.14,467.923
160945,104453,7652.87,212.304
262143,118895,4875.98,237.417
142959,35852.8,3092.32,65.8116
218650,82929.5,6161.78,173.974
257380,139381,6389.78,487.474
262143,151643,7439.33,512.339
262143,163627,3781.28,424.746
251168,76505.6,9752.51,229.928
125917,56727.2,2817.78,124.574
144094,55528.8,3297.6,127.685
262143,165052,8052.83,362.267
138034,48517.1,2329.98,94.9174
129496,73558.3,4832.33,141.867
113129,34913.8,2756.38,47.0319
18943.8,29758.8,3929.28,88.4739
116824,41605.1,4861.38,24.2594
151276,78224,40121.9,134.68
145804,39241.7,2277.52,74.1826
262143,171832,13325.7,380.936
262143,262143,22370.7,1209.2
208403,130880,6758.22,380.826
218965,121364,7180.35,402.222
106150,75308.6,3448.78,158.746
6707.36,31693.9,256.913,37.6696
262143,162860,5830.38,482.159
135862,134553,116448,9125.59
260849,110292,16110.9,353.015
125463,44483.2,4416.26,179.591
112065,42852.6,1747.86,223.677
142464,60419.2,3741.49,51.245
207926,155199,8143.29,388.702
262143,262143,216296,31517.5
217679,154457,2643.07,209.248
169840,60179.8,756.558,201.62
6111.6,9871.26,13786.7,186.971
130323,51790.2,3114.76,40.8913
262143,197851,59044.8,763.195
120600,47409.2,1528.67,141.261
262143,163679,5989.96,562.235
262143,262143,18916,697.355
110900,34260.8,1802.93,58.6522
262143,155787,10449.2,392.061
139655,54077.8,7870.27,153.019
141222,47812.2,4679.78,124.574
244131,111478,31328.5,262.282
145126,73861.6,2454.72,31.2261
262143,262143,20727.8,907.292
125481,28612.3,1118.93,22.5522
262143,200388,12674.1,340.486
143187,57227.2,5579.12,55.5405
